Product code,Bureau of Meteorology station number,Year,Month,Mean maximum temperature (°C),Quality
IDCJAC0002,300000,1957,02,-0.7,Y
IDCJAC0002,300000,1957,03,-5.9,Y
IDCJAC0002,300000,1957,04,-6.7,Y
IDCJAC0002,300000,1957,05,-11.9,Y
IDCJAC0002,300000,1957,06,-9.0,Y
IDCJAC0002,300000,1957,07,-14.4,Y
IDCJAC0002,300000,1957,08,-12.1,Y
IDCJAC0002,300000,1957,09,-13.1,Y
IDCJAC0002,300000,1957,10,-5.7,Y
IDCJAC0002,300000,1957,11,-3.9,Y
IDCJAC0002,300000,1957,12,2.5,Y
IDCJAC0002,300000,1958,01,2.2,Y
IDCJAC0002,300000,1958,02,-1.8,Y
IDCJAC0002,300000,1958,03,-4.8,Y
IDCJAC0002,300000,1958,04,-9.3,Y
IDCJAC0002,300000,1958,05,-10.4,Y
IDCJAC0002,300000,1958,06,-14.1,Y
IDCJAC0002,300000,1958,07,-11.7,Y
IDCJAC0002,300000,1958,08,-15.9,Y
IDCJAC0002,300000,1958,09,-15.8,Y
IDCJAC0002,300000,1958,10,-10.4,Y
IDCJAC0002,300000,1958,11,-3.9,Y
IDCJAC0002,300000,1958,12,2.1,Y
IDCJAC0002,300000,1959,01,0.5,Y
IDCJAC0002,300000,1959,02,-2.2,Y
IDCJAC0002,300000,1959,03,-3.3,Y
IDCJAC0002,300000,1959,04,-9.4,Y
IDCJAC0002,300000,1959,05,-9.8,Y
IDCJAC0002,300000,1959,06,-13.3,Y
IDCJAC0002,300000,1959,07,-14.5,Y
IDCJAC0002,300000,1959,08,-14.1,Y
IDCJAC0002,300000,1959,09,-16.3,Y
IDCJAC0002,300000,1959,10,-8.7,Y
IDCJAC0002,300000,1959,11,-3.8,Y
IDCJAC0002,300000,1959,12,1.4,Y
IDCJAC0002,300000,1960,01,1.9,Y
IDCJAC0002,300000,1960,02,-0.1,Y
IDCJAC0002,300000,1960,03,-8.3,Y
IDCJAC0002,300000,1960,04,-12.0,Y
IDCJAC0002,300000,1960,05,-14.3,Y
IDCJAC0002,300000,1960,06,-16.5,Y
IDCJAC0002,300000,1960,07,-19.8,Y
IDCJAC0002,300000,1960,08,-14.2,Y
IDCJAC0002,300000,1960,09,-13.4,Y
IDCJAC0002,300000,1960,10,-10.1,Y
IDCJAC0002,300000,1960,11,-2.5,Y
IDCJAC0002,300000,1960,12,0.9,Y
IDCJAC0002,300000,1961,01,2.3,Y
IDCJAC0002,300000,1961,02,1.7,Y
IDCJAC0002,300000,1961,03,-4.4,Y
IDCJAC0002,300000,1961,04,-7.9,Y
IDCJAC0002,300000,1961,05,-9.4,Y
IDCJAC0002,300000,1961,06,-13.2,Y
IDCJAC0002,300000,1961,07,-11.2,Y
IDCJAC0002,300000,1961,08,-13.2,Y
IDCJAC0002,300000,1961,09,-9.7,Y
IDCJAC0002,300000,1961,10,-9.9,Y
IDCJAC0002,300000,1961,11,-2.9,Y
IDCJAC0002,300000,1961,12,0.4,Y
IDCJAC0002,300000,1962,01,0.2,Y
IDCJAC0002,300000,1962,02,-0.5,Y
IDCJAC0002,300000,1962,03,-6.7,Y
IDCJAC0002,300000,1962,04,-12.2,Y
IDCJAC0002,300000,1962,05,-16.6,Y
IDCJAC0002,300000,1962,06,-13.3,Y
IDCJAC0002,300000,1962,07,-17.0,Y
IDCJAC0002,300000,1962,08,-18.5,Y
IDCJAC0002,300000,1962,09,-15.3,Y
IDCJAC0002,300000,1962,10,-9.8,Y
IDCJAC0002,300000,1962,11,-3.0,Y
IDCJAC0002,300000,1962,12,1.2,Y
IDCJAC0002,300000,1963,01,2.4,Y
IDCJAC0002,300000,1963,02,-2.3,Y
IDCJAC0002,300000,1963,03,-7.2,Y
IDCJAC0002,300000,1963,04,-11.9,Y
IDCJAC0002,300000,1963,05,-13.4,Y
IDCJAC0002,300000,1963,06,-11.6,Y
IDCJAC0002,300000,1963,07,-14.4,Y
IDCJAC0002,300000,1963,08,-11.3,Y
IDCJAC0002,300000,1963,09,-11.9,Y
IDCJAC0002,300000,1963,10,-11.1,Y
IDCJAC0002,300000,1963,11,-3.0,Y
