Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual

IDCJAC0002,086351,1980,24.7,25.8,23.5,22.1,17.8,13.4,13.1,15.3,18.1,20.1,22.9,26.5,20.3
IDCJAC0002,086351,1981,29.8,28.2,23.1,22.2,16.5,13.4,12.9,13.7,17.9,19.6,21.5,24.0,20.2
IDCJAC0002,086351,1982,28.0,26.9,25.3,20.7,16.3,12.6,12.1,17.1,16.2,18.9,26.0,24.2,20.4
IDCJAC0002,086351,1983,25.1,30.1,25.0,18.2,16.4,13.0,12.5,14.7,16.0,17.9,21.0,24.9,19.6
IDCJAC0002,086351,1984,24.5,26.9,22.5,19.7,17.4,14.3,12.4,14.6,14.8,19.4,22.5,23.3,19.4
IDCJAC0002,086351,1985,24.9,26.0,26.5,21.8,15.4,13.0,12.8,14.1,15.5,19.6,null,null,null
IDCJAC0002,086351,1986,null,null,null,19.8,null,12.8,12.5,null,null,null,null,null,null
IDCJAC0002,086351,1988,null,null,null,null,null,null,null,14.8,null,null,null,null,null
IDCJAC0002,086351,1990,26.4,25.0,24.9,20.3,16.8,13.8,13.9,13.5,16.5,19.6,22.6,26.6,20.0
IDCJAC0002,086351,1991,26.1,26.4,24.4,19.6,16.2,15.1,13.2,14.0,15.7,20.6,21.7,23.0,19.7
IDCJAC0002,086351,1992,21.6,24.3,24.4,20.8,16.3,13.3,13.1,13.2,13.9,18.8,19.8,23.9,18.6
IDCJAC0002,086351,1993,26.7,25.7,22.8,22.4,16.9,13.1,13.9,16.2,16.4,18.4,20.2,22.5,19.6
IDCJAC0002,086351,1994,24.3,25.8,22.2,20.1,16.3,14.0,14.4,13.9,15.2,19.7,21.5,27.9,19.6
IDCJAC0002,086351,1995,26.5,26.4,22.2,17.2,15.5,13.0,11.8,15.5,15.8,18.0,21.4,20.6,18.7
IDCJAC0002,086351,1996,25.1,23.7,23.5,17.6,16.0,14.3,12.6,14.3,16.1,19.5,20.4,22.3,18.8
IDCJAC0002,086351,1997,27.7,30.5,22.8,20.8,15.8,14.3,12.7,14.2,16.4,20.0,23.1,25.1,20.3
IDCJAC0002,086351,1998,27.3,27.4,24.8,18.9,16.1,13.8,12.7,15.4,18.3,18.7,21.3,25.1,20.0
IDCJAC0002,086351,1999,27.6,28.2,23.6,18.8,18.0,14.9,14.4,15.3,18.3,20.3,22.0,24.0,20.4
IDCJAC0002,086351,2000,24.8,30.4,25.5,21.3,15.8,13.7,13.6,14.9,17.4,18.2,23.0,25.5,20.3
IDCJAC0002,086351,2001,29.4,28.9,23.6,20.1,16.4,15.0,13.8,14.9,18.8,18.6,20.4,21.1,20.1
IDCJAC0002,086351,2002,25.2,24.7,23.7,21.5,17.8,14.8,14.6,15.3,18.0,20.1,23.5,24.7,20.3
IDCJAC0002,086351,2003,27.3,26.8,24.4,20.5,17.7,14.8,13.8,14.2,16.5,16.7,22.7,27.2,20.2
IDCJAC0002,086351,2004,24.5,26.3,23.7,null,16.7,14.3,13.2,15.6,16.3,19.9,21.4,24.3,null
IDCJAC0002,086351,2005,26.8,23.9,23.1,23.7,17.8,15.7,14.2,15.5,17.5,21.1,24.4,28.8,21.0
IDCJAC0002,086351,2006,27.8,25.2,26.2,18.5,15.5,13.1,13.5,15.7,19.0,21.6,22.6,25.1,20.3
IDCJAC0002,086351,2007,27.9,29.7,25.9,22.4,18.9,13.0,12.8,16.3,17.8,21.2,24.4,26.3,21.4
IDCJAC0002,086351,2008,28.1,24.4,27.4,20.2,16.3,14.9,13.2,13.6,18.8,21.7,22.6,22.9,20.3
IDCJAC0002,086351,2009,29.3,27.7,24.1,20.4,16.9,14.6,14.2,15.9,17.8,19.2,27.3,25.6,21.1
IDCJAC0002,086351,2010,27.3,28.1,25.5,22.3,17.1,13.3,13.4,13.4,15.5,19.9,22.7,24.7,20.3
IDCJAC0002,086351,2011,26.4,24.7,22.4,20.2,15.2,14.5,13.6,16.3,18.4,20.1,23.6,24.4,20.0
IDCJAC0002,086351,2012,27.0,26.6,23.0,21.2,15.9,13.4,13.6,14.2,17.7,20.2,23.1,25.7,20.1
IDCJAC0002,086351,2013,27.6,29.1,26.5,20.5,17.3,14.2,15.1,15.6,19.8,19.0,21.3,24.6,20.9
IDCJAC0002,086351,2014,29.2,28.5,25.6,20.5,18.5,14.8,13.8,15.2,18.6,22.3,25.1,25.9,21.5
IDCJAC0002,086351,2015,26.9,28.0,23.6,19.1,16.7,13.9,12.8,13.7,17.2,25.2,23.9,29.1,20.8
IDCJAC0002,086351,2016,27.4,26.6,25.6,22.6,18.3,13.8,14.1,15.5,16.5,19.0,21.3,26.7,20.6
IDCJAC0002,086351,2017,27.5,26.7,27.5,20.7,16.8,14.4,14.3,14.5,17.6,21.8,27.3,25.6,21.2
IDCJAC0002,086351,2018,27.5,28.8,25.0,24.0,17.8,14.4,14.4,15.0,17.8,22.8,23.4,26.3,21.4
